region,female,male,diff,diff_p,OKTMO_CODE,OKATO_NAME,ADM3_NAME,ISO_3166,ISO_3166_0
Мурманская область,40781,74646,-33865,-83.0,47000000,Мурманская область,Северо-Западный федеральный округ,RU-MUR,MUR
Камчатский край,17258,27062,-9804,-56.8,30000000,Камчатский край,Дальневосточный федеральный округ,RU-KAM,KAM
Сахалинская область,31079,45972,-14893,-47.9,64000000,Сахалинская область,Дальневосточный федеральный округ,RU-SAK,SAK
Приморский край,129304,187652,-58348,-45.1,05000000,Приморский край,Дальневосточный федеральный округ,RU-PRI,PRI
Республика Марий Эл,41562,59382,-17820,-42.9,88000000,Республика Марий Эл,Приволжский федеральный округ,RU-ME,ME
Калининградская область,63848,90778,-26930,-42.2,27000000,Калининградская область,Северо-Западный федеральный округ,RU-KGD,KGD
Псковская область,39975,56651,-16676,-41.7,58000000,Псковская область,Северо-Западный федеральный округ,RU-PSK,PSK
Ленинградская область,112631,155788,-43157,-38.3,41000000,Ленинградская область,Северо-Западный федеральный округ,RU-LEN,LEN
Еврейская автономная область,12005,16576,-4571,-38.1,99000000,Еврейская автономная область,Дальневосточный федеральный округ,RU-YEV,YEV
Хабаровский край,103921,143451,-39530,-38.0,08000000,Хабаровский край,Дальневосточный федеральный округ,RU-KHA,KHA
Дальневосточный федеральный округ,442594,604119,-161525,-36.5,,,,,
Чукотский автономный округ,2869,3872,-1003,-35.0,77000000,Чукотский автономный округ,Дальневосточный федеральный округ,RU-CHU,CHU
Магаданская область,9687,12997,-3310,-34.2,44000000,Магаданская область,Дальневосточный федеральный округ,RU-MAG,MAG
Забайкальский край,76966,100822,-23856,-31.0,76000000,Забайкальский край,Сибирский федеральный округ,RU-ZAB,ZAB
Архангельская область,81346,106345,-24999,-30.7,11000000,Архангельская область,Северо-Западный федеральный округ,RU-ARK,ARK
Рязанская область,69319,89581,-20262,-29.2,61000000,Рязанская область,Центральный федеральный округ,RU-RYA,RYA
Республика Коми,58467,75554,-17087,-29.2,87000000,Республика Коми,Северо-Западный федеральный округ,RU-KO,KO
Калужская область,63103,81220,-18117,-28.7,29000000,Калужская область,Центральный федеральный округ,RU-KLU,KLU
Амурская область,57029,72409,-15380,-27.0,10000000,Амурская область,Дальневосточный федеральный округ,RU-AMU,AMU
Владимирская область,89914,113657,-23743,-26.4,17000000,Владимирская область,Центральный федеральный округ,RU-VLA,VLA
Тамбовская область,68646,86431,-17785,-25.9,68000000,Тамбовская область,Центральный федеральный округ,RU-TAM,TAM
Тверская область,80178,100854,-20676,-25.8,28000000,Тверская область,Центральный федеральный округ,RU-TVE,TVE
Астраханская область,67036,83925,-16889,-25.2,12000000,Астраханская область,Южный федеральный округ,RU-AST,AST
Московская область,502064,626798,-124734,-24.8,46000000,Московская область,Центральный федеральный округ,RU-MOS,MOS
Смоленская область,68187,84972,-16785,-24.6,66000000,Смоленская область,Центральный федеральный округ,RU-SMO,SMO
Северо-Западный федеральный округ,963150,1188870,-225720,-23.4,,,,,
Тульская область,106852,130742,-23890,-22.4,70000000,Тульская область,Центральный федеральный округ,RU-TUL,TUL
Республика Бурятия,73742,89611,-15869,-21.5,81000000,Республика Бурятия,Сибирский федеральный округ,RU-BU,BU
Кировская область,81366,98564,-17198,-21.1,33000000,Кировская область,Приволжский федеральный округ,RU-KIR,KIR
Воронежская область,153150,185166,-32016,-20.9,20000000,Воронежская область,Центральный федеральный округ,RU-VOR,VOR
Чеченская Республика,95024,114550,-19526,-20.5,96000000,Чеченская Республика,Северо-Кавказский федеральный округ,RU-CE,CE
Республика Северная Осетия – Алания,62318,74845,-12527,-20.1,90000000,Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,RU-SE,SE
Пензенская область,91145,108683,-17538,-19.2,56000000,Пензенская область,Приволжский федеральный округ,RU-PNZ,PNZ
Волгоградская область,189117,224522,-35405,-18.7,18000000,Волгоградская область,Южный федеральный округ,RU-VGG,VGG
Чувашская Республика,89594,106243,-16649,-18.6,97000000,Чувашская Республика - Чувашия,Приволжский федеральный округ,RU-CU,CU
Новосибирская область,189780,224387,-34607,-18.2,50000000,Новосибирская область,Сибирский федеральный округ,RU-NVS,NVS
Южный федеральный округ,989145,1169034,-179889,-18.2,,,,,
Ульяновская область,85423,100955,-15532,-18.2,73000000,Ульяновская область,Приволжский федеральный округ,RU-ULY,ULY
Республика Адыгея,29457,34790,-5333,-18.1,79000000,Республика Адыгея (Адыгея),Южный федеральный округ,RU-AD,AD
Нижегородская область,237594,280575,-42981,-18.1,22000000,Нижегородская область,Приволжский федеральный округ,RU-NIZ,NIZ
Ханты-Мансийский   автономный округ – Югра,101455,119638,-18183,-17.9,71800000,Ханты-Мансийский автономный округ - Югра (Тюменская область),Уральский федеральный округ,RU-KHM,KHM
Саратовская область,175546,206530,-30984,-17.7,63000000,Саратовская область,Приволжский федеральный округ,RU-SAR,SAR
Краснодарский край,366721,431270,-64549,-17.6,03000000,Краснодарский край,Южный федеральный округ,RU-KDA,KDA
Ростовская область,313926,367150,-53224,-17.0,60000000,Ростовская область,Южный федеральный округ,RU-ROS,ROS
