Rtype,RegionCode,RegionName,CarAccidents,Deaths
fregion,RU-BEL,Белгородская обл.,1,15512
fregion,RU-BRY,Брянская обл.,2,16612
fregion,RU-VLA,Владимирская обл.,1,15512
fregion,RU-VOR,Воронежская обл.,1,15512
fregion,RU-IVA,Ивановская обл.,1,15512
fregion,RU-KLU,Калужская обл.,1,15512
fregion,RU-KOS,Костромская обл.,1,15512
fregion,RU-KRS,Курская обл.,1,15512
fregion,RU-LIP,Липецкая обл.,1,15512
fregion,RU-MOW,Москва,4,96717
fregion,RU-MOS,Московская обл.,4,74247
fregion,RU-ORL,Орловская обл.,1,15512
fregion,RU-RYA,Рязанская обл.,1,15512
fregion,RU-SMO,Смоленская обл.,2,20642
fregion,RU-TAM,Тамбовская обл.,1,15512
fregion,RU-TVE,Тверская обл.,1,15512
fregion,RU-TUL,Тульская обл.,1,15512
fregion,RU-YAR,Ярославская обл.,2,19770
fregion,RU-KR,Республика Карелия,2,17512-21717
fregion,RU-KO,Республика Коми,1,15512
fregion,RU-ARK,Архангельская обл.,2,18615-21718
fregion,RU-VLG,Вологодская обл.,2,17839-18391
fregion,RU-KGD,Калининградская обл.,2,19012
fregion,RU-LEN,Ленинградская обл.,3,35512
fregion,RU-SPE,Санкт-Петербург,3,41749
fregion,RU-MUR,Мурманская обл.,2,20166
fregion,RU-NGR,Новгородская обл.,1,15512
fregion,RU-PSK,Псковская обл.,1,15512
fregion,RU-NEN,Ямало-Ненецкий авт. округ,2,23268
fregion,RU-AD,Республика Адыгея,2,16512
fregion,RU-KL,Республика Калмыкия,1,15512
fregion,RU-KDA,Краснодарский край,2,16512
fregion,RU-AST,Астраханская обл.,1,15512
fregion,RU-VGG,Волгоградская обл.,2,26912
fregion,RU-ROS,Ростовская обл.,1,15512
fregion,RU-DA,Республика Дагестан,1,15512
fregion,RU-IN,Республика Ингушетия,1,15512
fregion,RU-KB,Кабардино-Балкарская Республика,2,18661
fregion,RU-KC,Карачаево-Черкесская Республика,1,15512
fregion,RU-SE,Республика Северная Осетия,769,156
fregion,RU-CE,Чеченская Республика,1,15512
fregion,RU-CE & RU-IN,Чеченская Республика и Республика Ингушетия,1,15512
fregion,RU-STA,Ставропольский край,1,15512
fregion,RU-BA,Республика Башкортостан,2,17839
fregion,RU-ME,Республика Марий Эл,1,15512
fregion,RU-MO,Республика Мордовия,1,15512
fregion,RU-TA,Республика Татарстан,1,15512
fregion,RU-UD,Удмуртская Республика,2,17839
fregion,RU-CU,Чувашская Республика,1,15512
fregion,RU-PER,Пермский край,2,17839-18391
fregion,RU-KIR,Кировская обл.,2,17839
fregion,RU-NIZ,Нижегородская обл.,2,23512
fregion,RU-ORE,Оренбургская обл.,2,17839
fregion,RU-PNZ,Пензенская обл.,1,15512
fregion,RU-SAM,Самарская обл.,1,15512
fregion,RU-SAR,Саратовская обл.,1,15512
fregion,RU-ULY,Ульяновская обл.,2,16512
fregion,RU-KGN,Курганская обл.,2,17839
fregion,RU-SVE,Свердловская обл.,2,17839-18391
fregion,RU-TYU,Тюменская обл.,2,17839-23368
fregion,RU-CHE,Челябинская обл.,2,19839-22166
fregion,RU-KHM,Ханты-мансийский авт. округ,2,23268
fregion,RU-YAN,Ямало-ненецкий авт. округ,2,23268
fregion,RU-AL,Республика Алтай,2,21718
fregion,RU-BU,Республика Бурятия,2,18615-20166
fregion,RU-TY,Республика Тыва,2,217178-23269
fregion,RU-KK,Республика Хакасия,2,20166
fregion,RU-ALT,Алтайский край,2,17839-18615
fregion,RU-ZAB,Забайкальский край,2,18615-21718
fregion,RU-KYA,Красноярский край,2,20166
fregion,RU-IRK,Иркутская обл.,2,18615-20166
fregion,RU-KEM,Кемеровская обл.,2,20166
fregion,RU-NVS,Новосибирская обл.,2,24615
fregion,RU-OMS,Омская обл.,2,17839
fregion,RU-TOM,Томская обл.,2,20166-23269
fregion,RU-SA,Республика Саха (Якутия),3,27930-37237
fregion,RU-PRI,Приморский край,2,18615-20166
fregion,RU-KAM,Камчатский край,2,24820
fregion,RU-KHA,Хабаровский край,2,18615-24820
fregion,RU-AMU,Амурская обл.,2,18615-20166
fregion,RU-MAG,Магаданская обл.,2,26371
fregion,RU-SAK,Сахалинская обл.,4,74068-83375
fregion,RU-YEV,Еврейская авт. обл.,2,18615-20166
fregion,RU-CHU,Чукотский авт. округ,3,36025

